canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(-n5cccn5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292826.0;29043992;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '20.97', 'le': '0.38', 'lle': '6.50', 'sei': '9.45'};CHEMBL5948890;;CHEMBL5948890;9.26;0;http://www.openphacts.org/units/Nanomolar;4645760;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(-n5ccnc5)cc4)nc32)C1;CHEMBL5739504;5.5;5.5;;1292854.0;29044076;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '18.71', 'le': '0.34', 'lle': '5.50', 'sei': '8.43'};CHEMBL5890851;;CHEMBL5890851;8.26;0;http://www.openphacts.org/units/Nanomolar;4645767;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(-n5ccnn5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292830.0;29044004;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '20.93', 'le': '0.38', 'lle': '7.11', 'sei': '8.35'};CHEMBL5772966;;CHEMBL5772966;9.26;0;http://www.openphacts.org/units/Nanomolar;4645761;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(C5=CCN(C)CC5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292858.0;29044088;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '19.68', 'le': '0.36', 'lle': '5.97', 'sei': '11.11'};CHEMBL5999450;;CHEMBL5999450;9.26;0;http://www.openphacts.org/units/Nanomolar;4645768;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(C5CCN(C)CC5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292869.0;29044121;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '19.59', 'le': '0.36', 'lle': '5.88', 'sei': '11.11'};CHEMBL5917312;;CHEMBL5917312;9.26;0;http://www.openphacts.org/units/Nanomolar;4645771;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CCN(C)C)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292914.0;29044256;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '20.74', 'le': '0.38', 'lle': '6.59', 'sei': '11.11'};CHEMBL6061730;;CHEMBL6061730;9.26;0;http://www.openphacts.org/units/Nanomolar;4645783;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CN5CCN(C)CC5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292752.0;29043770;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '18.99', 'le': '0.35', 'lle': '6.94', 'sei': '10.69'};CHEMBL6036687;;CHEMBL6036687;9.26;0;http://www.openphacts.org/units/Nanomolar;4645740;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CN5CCOCC5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292744.0;29043746;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '19.51', 'le': '0.36', 'lle': '6.86', 'sei': '10.00'};CHEMBL5786845;;CHEMBL5786845;9.26;0;http://www.openphacts.org/units/Nanomolar;4645738;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CN5CCSCC5)cc4)nc32)C1;CHEMBL5739504;0.55;0.55;;1292902.0;29044220;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '18.87', 'le': '0.36', 'lle': '6.14', 'sei': '11.11'};CHEMBL5956961;;CHEMBL5956961;9.26;0;http://www.openphacts.org/units/Nanomolar;4645780;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4F)nc32)C1;CHEMBL5739504;0.55;0.55;;1293122.0;29044880;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '18.84', 'le': '0.35', 'lle': '6.80', 'sei': '10.69'};CHEMBL5826268;;CHEMBL5826268;9.26;0;http://www.openphacts.org/units/Nanomolar;4645835;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc32)C1;CHEMBL5739504;0.55;0.55;;1292646.0;29043452;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '19.55', 'le': '0.36', 'lle': '6.94', 'sei': '10.69'};CHEMBL5883675;;CHEMBL5883675;9.26;0;http://www.openphacts.org/units/Nanomolar;4645708;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)nc32)C1;CHEMBL5739504;0.55;0.55;;1293106.0;29044832;[];"Biochemical JAK and Tyk2 Kinase Assays: A panel of four LanthaScreen JAK biochemical assays (JAK1, 2, 3 and Tyk2) were carried in a common kinase reaction buffer (50 mM HEPES, pH 7.5, 0.01% Brij-35, 10 mM MgCl2, and 1 mM EGTA). Recombinant GST-tagged JAK enzymes and a GFP-tagged STAT1 peptide substrate were obtained from Life Technologies. Serially or discretely diluted compounds were pre-incubated with each of the four JAK enzymes and the substrate in white 384-well microplates (Corning) at ambient temperature for 1 h. ATP was subsequently added to initiate the kinase reactions in 10 μL total volume, with 1% DMSO. The final enzyme concentrations for JAK1, 2, 3 and Tyk2 are 4.2 nM, 0.1 nM, 1 nM, and 0.25 nM respectively; the corresponding Km ATP concentrations used are 25 μM, 3 μM, 1.6 μM, and 10 μM; while the substrate concentration is 200 nM for all four assays. Kinase reactions were allowed to proceed for 1 hour at ambient temperature before a 10 μL preparation of EDTA (10 mM final concentration) and Tb-anti-pSTAT1 (pTyr701) antibody (Life Technologies, 2 nM final concentration) in TR-FRET dilution buffer (Life Technologies) was added. The plates were allowed to incubate at ambient temperature for 1 h before being read on the EnVision reader (Perkin Elmer). Emission ratio signals (520 nm/495 nm) were recorded and utilized to calculate the percent inhibition values based on DMSO and background controls.For dose-response analysis, percent inhibition data were plotted vs. compound concentrations, and IC50 values were determined from a 4-parameter robust fit model with the Prism software (GraphPad Software). Results were expressed as pIC50 (negative logarithm of IC50) and subsequently converted to pKi (negative logarithm of dissociation constant, Ki) using the Cheng-Prusoff equation.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729796;;2023.0;{'bei': '19.51', 'le': '0.36', 'lle': '7.54', 'sei': '9.31'};CHEMBL5937057;;CHEMBL5937057;9.26;0;http://www.openphacts.org/units/Nanomolar;4645831;=;37;1;=;;Ki;nM;;CHEMBL2148;Homo sapiens;Tyrosine-protein kinase JAK3;9606;;;Ki;nM;UO_0000065;;False
